# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed Mar  4 15:36:53 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00077741 -1.30000 10.05308 0.0900000036 1.0816895926    0.090 -3.201  3.4633  5.399    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.27e-17      0.00 7.473e-01 2.519e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.184e-04 12.774 17.968 16.540 14.651 12.767 12.143 12.024
0.00077741 -1.30000 10.05308 0.0945241600 1.1236652262    0.095 -3.077  3.4810  5.367    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.1e-17      0.00 7.466e-01 2.526e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.184e-04 12.463 17.608 15.847 13.994 12.399 11.855 11.738
0.00077741 -1.30000 10.05308 0.1000000089 1.1711064744    0.100 -2.935  3.5013  5.330    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-16      0.00 7.458e-01 2.534e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.183e-04 12.107 17.114 15.066 13.278 11.992 11.528 11.412
0.00077741 -1.30000 10.05308 0.1036758721 1.2010985886    0.104 -2.878  3.5077  5.315    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-16      0.00 7.454e-01 2.538e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.184e-04 11.966 16.908 14.802 13.039 11.838 11.395 11.281
0.00077741 -1.30000 10.05308 0.1199999973 1.3193154249    0.120 -2.650  3.5335  5.253    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-16      0.00 7.436e-01 2.556e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.184e-04 11.396 15.985 13.772 12.129 11.222 10.855 10.747
0.00077741 -1.30000 10.05308 0.1400000006 1.4384526719    0.140 -2.469  3.5495  5.203    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.86e-16      0.00 7.419e-01 2.573e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.184e-04 10.942 15.256 13.068 11.508 10.747 10.418 10.314
0.00077741 -1.30000 10.05308 0.1599999964 1.5372931554    0.160 -2.329  3.5598  5.162    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-16      0.00 7.406e-01 2.586e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.184e-04 10.591 14.712 12.567 11.064 10.385 10.077 9.977
0.00077741 -1.30000 10.05308 0.2000000179 1.6938791367    0.200 -2.108  3.5736  5.093    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.23e-16      0.00 7.393e-01 2.599e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.184e-04 10.039 13.891 11.829 10.407 9.822 9.540 9.445
0.00077741 -1.30000 10.05308 0.2500000000 1.8403257998    0.250 -1.903  3.5848  5.030    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-16      0.00 7.391e-01 2.601e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.183e-04 9.528 13.165 11.178 9.829 9.302 9.039 8.949
0.00077741 -1.30000 10.05308 0.3000000417 1.9529140366    0.300 -1.746  3.5933  4.987    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-16      0.00 7.393e-01 2.599e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.183e-04 9.136 12.614 10.687 9.395 8.905 8.656 8.570
0.00077741 -1.30000 10.05308 0.3499999940 2.0434174644    0.350 -1.619  3.6005  4.955    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-15      0.00 7.450e-01 2.542e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.183e-04 8.818 12.171 10.288 9.045 8.582 8.344 8.261
0.00077741 -1.30000 10.05308 0.3817813993 2.0926310055    0.382 -1.523  3.6077  4.926    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-15      0.00 7.478e-01 2.513e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.183e-04 8.578 11.810 9.971 8.776 8.337 8.110 8.031
0.00077741 -1.30000 10.05308 0.4000000358 2.1185024810    0.400 -1.472  3.6116  4.910    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-15      0.00 7.494e-01 2.498e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.183e-04 8.450 11.619 9.801 8.633 8.206 7.985 7.908
0.00077741 -1.30000 10.05308 0.4376642704 2.1674324350    0.437 -1.338  3.6253  4.870    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.21e-15      0.00 7.494e-01 2.497e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.183e-04 8.114 11.072 9.327 8.249 7.864 7.664 7.594
0.00077741 -1.30000 10.05308 0.4500000477 2.1822809714    0.450 -1.296  3.6295  4.857    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.53e-15      0.00 7.494e-01 2.497e-01 1.471e-04 3.970e-05 3.601e-04 -1.000 8.183e-04 8.010 10.904 9.181 8.132 7.758 7.565 7.497
