#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-16T10:30:17 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-16T10:30:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=200&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=VII/202/catalog&-source=VII/202/catalog&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=GLON&-out=GLAT&-out=Rsun&-out=Rgc&-out=E(B-V)&-out=(m-M)V&-out=Vt&-out=MVt&-out=(V-I)t&-out=Rh&-out=muV&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:1996AJ....112.1487H	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	    Dataset landing page
#INFO	publication_date=2015-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	E(B-V)	(F5.2)	? Foreground reddening	[ucd=phot.color.excess]
#Column	(m-M)V	(F5.2)	? Apparent visual distance modulus	[ucd=phot.mag.distMod]
#Column	Vt	(F5.2)	? Integrated V magnitude of the cluster	[ucd=phot.mag;em.opt]
#Column	MVt	(F6.2)	? Absolute visual magnitude (cluster luminosity)	[ucd=phys.magAbs;em.opt.V]
#Column	(V-I)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	Rh	(F5.2)	? Half-mass radius	[ucd=phys.angSize]
#Column	muV	(F5.2)	? Central surface brightness in V band	[ucd=phot.mag.sb;em.opt.V]
ID;RAJ2000;DEJ2000;GLON;GLAT;Rsun;Rgc;E(B-V);(m-M)V;Vt;MVt;(V-I)t;Rh;muV
 ;"h:m:s";"d:m:s";deg;deg;kpc;kpc;mag;mag;mag;mag;mag;arcmin;mag/arcsec2
---------;----------;---------;------;------;-----;-----;-----;-----;-----;------;-----;-----;-----
NGC 104  ;00 24 05.2;-72 04 51;305.90;-44.89;  4.3;  7.3; 0.05;13.32; 3.95; -9.37; 1.14; 2.79;14.43
NGC 288  ;00 52 47.5;-26 35 24;152.28;-89.38;  8.1; 11.4; 0.03;14.64; 8.09; -6.55; 0.94; 2.22;19.95
NGC 362  ;01 03 14.3;-70 50 54;301.53;-46.25;  8.3;  9.2; 0.05;14.75; 6.40; -8.35; 1.01; 0.81;14.88
NGC 1261 ;03 12 15.3;-55 13 01;270.54;-52.13; 16.0; 17.9; 0.01;16.05; 8.29; -7.76; 0.93; 0.75;17.65
Pal 1    ;03 33 23.0;+79 34 50;130.07; 19.03;  9.7; 15.9; 0.15;15.40;13.52; -1.88;     ; 0.48;22.16
AM 1     ;03 55 02.7;-49 36 52;258.36;-48.47;119.1;120.5; 0.00;20.38;15.72; -4.66;     ; 0.50;23.86
Eridanus ;04 24 44.5;-21 11 13;218.11;-41.33; 80.8; 85.8; 0.02;19.60;14.70; -4.90;     ; 0.40;22.81
Pal 2    ;04 46 05.9;+31 22 51;170.53; -9.07; 26.9; 34.8; 1.24;20.99;13.04; -7.95; 2.65; 0.67;19.39
NGC 1851 ;05 14 06.3;-40 02 50;244.51;-35.04; 12.2; 16.8; 0.02;15.49; 7.14; -8.35; 1.01; 0.52;14.15
NGC 1904 ;05 24 10.6;-24 31 27;227.23;-29.35; 12.6; 18.5; 0.01;15.53; 7.73; -7.80; 0.91; 0.80;16.23
NGC 2298 ;06 48 59.2;-36 00 19;245.63;-16.01; 10.6; 15.6; 0.13;15.54; 9.29; -6.25; 1.11; 0.78;18.79
NGC 2419 ;07 38 08.5;+38 52 55;180.37; 25.24; 82.3; 89.6; 0.11;19.92;10.39; -9.53; 1.05; 0.73;19.83
Pyxis    ;09 07 57.8;-37 13 17;261.32;  7.00; 38.5; 40.5; 0.21;18.58;12.90; -5.68;     ; 1.35;
NGC 2808 ;09 12 02.6;-64 51 47;282.19;-11.25;  9.3; 10.9; 0.23;15.55; 6.20; -9.35; 1.18; 0.76;15.17
E 3      ;09 20 59.3;-77 16 57;292.27;-19.02;  4.2;  7.6; 0.30;14.07;11.35; -2.72;     ; 2.06;23.10
Pal 3    ;10 05 31.4;+00 04 17;240.14; 41.86; 89.4; 92.6; 0.03;19.85;14.26; -5.59;     ; 0.66;23.08
NGC 3201 ;10 17 36.8;-46 24 40;277.23;  8.64;  5.1;  8.9; 0.21;14.17; 6.75; -7.42; 1.23; 2.68;18.77
Pal 4    ;11 29 16.8;+28 58 25;202.31; 71.80; 99.6;102.2; 0.01;20.02;14.20; -5.82;     ; 0.54;23.54
NGC 4147 ;12 10 06.2;+18 32 31;252.85; 77.19; 18.8; 20.9; 0.02;16.43;10.32; -6.11; 0.79; 0.43;17.63
NGC 4372 ;12 25 45.4;-72 39 33;300.99; -9.88;  4.9;  6.9; 0.42;14.76; 7.24; -7.52; 1.50; 3.90;20.51
